Sample ID,Lat,Long,T3percRed
BBSL763076,46.09337,-117.87672,0.8796875
BBSL764239,48.29945,-116.70358,0.8796875
BBSL869580,48.6956,-116.4077,0.8796875
OSAC0000964116,44.957523,-118.230855,0.88125
OSAC0000964117,45.26756,-117.212795,0.88125
OSAC0000964175,45.411217,-116.74439,0.8921875
OSAC0000964193,45.008934,-117.191643,0.896875
BBSL760710,48.51715,-122.89218,0.9125
BBSL763226,48.51906,-120.73407,0.9125
OSAC0000964119,45.213814,-117.202736,0.96875
HH15_0102,43.76359,-116.10907,0.9875
OSAC0000964165,45.008934,-117.191643,0.990625
BBSL226705,41.03635,-106.88365,1
BBSL226710,41.0409,-105.5635,1
BBSL228068,42.0836,-111.6209,1
BBSL228072,41.9015,-111.6421,1
BBSL398961,41.8874,-111.5962,1
BBSL398972,37.6522,-112.82464,1
BBSL696546,48.6254,-118.9395,1
BBSL696724,48.6848,-119.9255,1
BBSL696861,48.8568,-119.9463,1
BBSL696984,48.866,-119.0532,1
BBSL697438,48.6003,-119.9355,1
BBSL740512,45.00276,-116.15892,1
BBSL744519,39.0116,-107.0526,1
BBSL744557,44.7603,-107.5948,1
BBSL744687,42.1988,-113.667,1
BBSL744957,44.7438,-111.259,1
BBSL745188,40.6065,-111.555,1
BBSL754274,39.8938,-111.0527,1
BBSL754278,39.8938,-111.0527,1
BBSL754310,39.8938,-111.0527,1
BBSL760923,41.94909,-113.34954,1
BBSL761015,40.6065,-111.555,1
BBSL763311,48.39298,-119.90317,1
BBSL763498,45.00649,-117.57936,1
BBSL763543,35.7425,-114.8396,1
BBSL763661,44.75118,-111.26383,1
BBSL763804,45.31757,-110.56695,1
BBSL763947,45.69219,-113.95238,1
BBSL763949,45.69219,-113.95238,1
BBSL763950,45.69219,-113.95238,1
BBSL764067,48.30446,-113.98406,1
BBSL764153,48.85286,-116.27901,1
BBSL764299,46.85804,-110.67823,1
BBSL764341,44.16488,-107.2138,1
BBSL764375,44.1681,-107.2109,1
BBSL764395,44.80227,-107.90035,1
BBSL764459,44.80227,-107.90035,1
BBSL764819,41.32207,-106.41233,1
BBSL765407,39.94036,-105.5595,1
BBSL765627,38.32304,-107.4761,1
BBSL765634,38.32304,-107.4761,1
BBSL767822,33.3994,-105.7895,1
ZION24174,37.3838,-113.0293,1
OSAC0000964079,45.43953,-117.35072,1
OSAC0000964110,37.635962,-112.845047,1
OSAC0000964122,40.667,-115.42715,1
OSAC0000964161,42.738562,-118.644603,1
OSAC0000964162,42.738562,-118.644603,1
OSAC0000964164,42.738562,-118.644603,1
OSAC0000964169,42.738562,-118.644603,1
OSAC0000964195,40.291974,-105.643638,1
OSAC0000964196,40.356726,-105.70117,1
OSAC0000964197,41.315817,-105.573346,1
OSAC0000964198,40.356726,-105.70117,1
OSAC0000964199,42.300201,-120.123587,1
OSAC0000964200,41.315817,-105.573346,1
OSAC0000964213,42.300201,-120.123587,1
OSAC0000964214,40.291039,-105.642323,1
OSAC0000964217,40.667,-115.42715,1
HH15_0203,43.78299,-116.08553,1
