cell,Specimen.ID,Species,T2T3Red,Lat,Lon,X,Y,TemplateX,TemplateY,Difference1,Difference2,Distance
453,562292,melanopygus,0,36.438333,-120.658611,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,AMNH_BEE 00121361,melanopygus,0,36.9878,-119.7108,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,AMNH_BEE 00122040,melanopygus,0,36.9878,-119.7108,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,AMNH_BEE 00122041,melanopygus,0,36.9878,-119.7108,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,AMNH_BEE 00122042,melanopygus,0,36.9878,-119.7108,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,AMNH_BEE 00122043,melanopygus,0,36.9878,-119.7108,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,562309,melanopygus,0,37.099444,-119.740278,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,562310,melanopygus,0,37.099444,-119.740278,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,562311,melanopygus,0,37.099444,-119.740278,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,562312,melanopygus,0,37.099444,-119.740278,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,562313,melanopygus,0,37.099444,-119.740278,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,BBSL397492,melanopygus,0,37.11628,-119.44701,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,BMEC_ENT 00006922,melanopygus,0,37.12833,-119.69444,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,BBSL397495,melanopygus,0,37.1346,-119.38794,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,BBSL397497,melanopygus,0,37.1346,-119.38794,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,BBSL397500,melanopygus,0,37.1346,-119.38794,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,BBSL397501,melanopygus,0,37.1346,-119.38794,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,BBSL397508,melanopygus,0,37.1346,-119.38794,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,BBSL397510,melanopygus,0,37.1346,-119.38794,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
361,BMEC_ENT 00006901,melanopygus,0,38.94414,-123.11528,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00006886,melanopygus,0,38.98247,-122.99976,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00006887,melanopygus,0,38.98247,-122.99976,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,562625,melanopygus,0,38.993889,-123.434444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,102373,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,102374,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,119119,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,119120,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,119121,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,126354,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,126355,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,126356,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,126357,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,126358,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,129399,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,132644,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,132645,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,132646,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,132647,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,132661,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,164448,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,187270,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,187272,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,188204,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,188208,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,194298,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,194303,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,194334,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,200232,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,201982,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,202153,melanopygus,0,38.999167,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,2221,melanopygus,0,39.001667,-123.084444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,2971,melanopygus,0,39.001667,-123.084444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,2973,melanopygus,0,39.001667,-123.084444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,4718,melanopygus,0,39.001667,-123.084444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,4719,melanopygus,0,39.001667,-123.084444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00007856,melanopygus,0,39.0018,-123.0847,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00006633,melanopygus,0,39.0018,-123.0847,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00006634,melanopygus,0,39.0018,-123.0847,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00006635,melanopygus,0,39.0018,-123.0847,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00006636,melanopygus,0,39.0018,-123.0847,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00006637,melanopygus,0,39.0018,-123.0847,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00006638,melanopygus,0,39.0018,-123.0847,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00006639,melanopygus,0,39.0018,-123.0847,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00006640,melanopygus,0,39.0018,-123.0847,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00006641,melanopygus,0,39.0018,-123.0847,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00007051,melanopygus,0,39.0018,-123.0847,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00007052,melanopygus,0,39.0018,-123.0847,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00007053,melanopygus,0,39.0018,-123.0847,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,112929,melanopygus,0,39.015,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,112930,melanopygus,0,39.015,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,112931,melanopygus,0,39.015,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,112932,melanopygus,0,39.015,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,112933,melanopygus,0,39.015,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,112934,melanopygus,0,39.015,-123.074444,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,9517,melanopygus,0,39.017778,-123.073056,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,187411,melanopygus,0,39.017778,-123.073056,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,196270,melanopygus,0,39.017778,-123.073056,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,104217,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,118717,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,122711,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,122712,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,122959,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,122960,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,125423,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,125424,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,125425,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,125460,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,126316,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,127129,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,128203,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,161483,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,162624,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,164737,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,191212,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,203159,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,203160,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,203161,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,203162,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,203163,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,203164,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,203165,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,204140,melanopygus,0,39.030278,-123.068333,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,562298,melanopygus,0,39.138056,-122.880556,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,562299,melanopygus,0,39.138056,-122.880556,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,562300,melanopygus,0,39.138056,-122.880556,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BBSL226650,melanopygus,0,39.1622,-122.9114,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,BMEC_ENT 00006903,melanopygus,0,39.17162,-123.01074,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,AMNH_BEE 00112644,melanopygus,0,39.232,-123.486,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
361,AMNH_BEE 00112641,melanopygus,0,39.232,-123.486,0.668840708,0.703747332,0.692180741,0.487384629,-0.023340033,0.216362703,0.21761796
