cell,Sample ID,Lat,Long,T3percRed,X,Y,TemplateX,TemplateY,Difference1,Difference2,Distance
296,OSAC0000964026,44.63805,-123.57749,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964036,45.52306,-122.67648,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964043,44.64234,-123.31565,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964046,44.54912,-123.45918,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964049,44.83673,-123.65168,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964091,44.553916,-123.27255,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964100,44.553916,-123.27255,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964102,44.553916,-123.27255,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,HH15_1803_1,42,-122.77,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,HH15_1803_2,42,-122.77,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,HH15_1904_1,42.11452,-122.68003,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,HH15_1904_2,42.11452,-122.68003,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,HH15_1904_3,42.11452,-122.68003,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,HH15_1904_4,42.11452,-122.68003,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,HH15_1904_5,42.11452,-122.68003,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,HH15_1904_6,42.11452,-122.68003,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,HH15_1904_7,42.11452,-122.68003,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,HH15_1904_8,42.11452,-122.68003,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,HH15_1904_9,42.11452,-122.68003,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,HH15_1904_10,42.11452,-122.68003,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
302,OSAC0000963955,45.213814,-117.202736,0,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
302,OSAC0000964019,45.26756,-117.212795,0,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
301,OSAC0000964018,44.96049,-118.23306,0,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
301,OSAC0000964021,45.43443,-118.39251,0,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
301,OSAC0000964025,45.02847,-117.91993,0,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
301,HH15_3905_1,45.64764,-118.12817,0,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
298,BBSL763035,48.62165,-120.83583,0.0125,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
298,HH15_1003_7,40.51667,-121.49402,0.03125,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
302,BBSL740597,45.69974,-117.2947,0.040625,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
302,BBSL740609,45.69974,-117.2947,0.040625,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
301,HH15_4004,45.50712,-118.11169,0.04375,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
298,BBSL763059,48.48593,-121.0843,0.05,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
301,HH15_3905_5,45.64764,-118.12817,0.0625,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
298,BBSL763259,48.51906,-120.73407,0.06875,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
302,BBSL740575,46.11186,-117.25697,0.06875,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
302,BBSL740683,44.96838,-117.43202,0.06875,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
302,BBSL740544,46.10825,-117.2458,0.078125,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
302,BBSL740589,45.69974,-117.2947,0.078125,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
302,BBSL740607,45.69974,-117.2947,0.078125,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
298,HH15_1003_6,40.51667,-121.49402,0.0859375,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
298,BBSL763235,48.51906,-120.73407,0.0890625,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
297,OSAC0000964249,47.530284,-122.120987,0.09375,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
301,OSAC0000963954,44.582688,-118.626081,0.10625,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
296,BBSL760354,48.09788,-123.41248,0.13125,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
301,HH15_3905_7,45.64764,-118.12817,0.1521875,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
302,OSAC0000964014,45.008934,-117.191643,0.17,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
302,OSAC0000964039,45.26756,-117.212795,0.17,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
301,OSAC0000964024,45.50189,-118.53767,0.17,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
